,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
0,Random (uniform),10,10,0.6300734693877551,0.6289632653061225
1,"Random (subtask stratified, equal)",10,10,0.6265142857142857,0.6252734693877551
2,Diversity,10,10,0.6463673469387755,0.6461224489795918
3,Stratified sampling (confidence),10,10,0.6987959183673469,0.6976530612244898
4,Anchor Points,10,10,0.8213714285714285,0.8196408163265306
5,tinyBenchmarks,10,10,0.726334693877551,0.7263836734693877
6,Random (uniform),10,25,0.7643265306122449,0.7609142857142858
7,"Random (subtask stratified, equal)",10,25,0.7627755102040816,0.7592816326530613
8,Diversity,10,25,0.7591020408163265,0.7576326530612245
9,Stratified sampling (confidence),10,25,0.7887142857142857,0.787530612244898
10,Anchor Points,10,25,0.8654367346938775,0.8649142857142857
11,tinyBenchmarks,10,25,0.8026938775510204,0.8011428571428572
12,Random (uniform),10,50,0.8269387755102041,0.8217142857142857
13,"Random (subtask stratified, equal)",10,50,0.8239020408163266,0.8214530612244898
14,Diversity,10,50,0.8152244897959183,0.8128979591836735
15,Stratified sampling (confidence),10,50,0.8553877551020408,0.8516530612244898
16,Anchor Points,10,50,0.8941551020408163,0.8909551020408163
17,tinyBenchmarks,10,50,0.840930612244898,0.8374857142857143
18,Random (uniform),10,100,0.8741224489795918,0.8690775510204082
19,"Random (subtask stratified, equal)",10,100,0.8780408163265306,0.8744163265306123
20,Diversity,10,100,0.8637755102040816,0.8601020408163266
21,Stratified sampling (confidence),10,100,0.8893265306122449,0.8837755102040816
22,Anchor Points,10,100,0.9100081632653061,0.9078204081632653
23,tinyBenchmarks,10,100,0.8845387755102041,0.8809795918367347
24,Random (uniform),10,250,0.9219918367346939,0.9131428571428571
25,"Random (subtask stratified, equal)",10,250,0.920995918367347,0.9135510204081633
26,Diversity,10,250,0.908734693877551,0.9029183673469388
27,Stratified sampling (confidence),10,250,0.9285102040816327,0.9191020408163265
28,Anchor Points,10,250,0.922873469387755,0.9187591836734694
29,tinyBenchmarks,10,250,0.9199836734693878,0.9127836734693877
30,Random (uniform),10,500,0.9450775510204081,0.9365551020408164
31,"Random (subtask stratified, equal)",10,500,0.9454040816326531,0.9367020408163266
32,Diversity,10,500,0.9238163265306123,0.916795918367347
33,Stratified sampling (confidence),10,500,0.9463469387755102,0.937469387755102
34,Anchor Points,10,500,0.9300408163265306,0.9252408163265307
35,tinyBenchmarks,10,500,0.9413551020408163,0.9318693877551021
36,Random (uniform),10,1000,0.9646204081632653,0.9509224489795919
37,"Random (subtask stratified, equal)",10,1000,0.9659755102040817,0.9523102040816327
38,Diversity,10,1000,0.9426938775510204,0.933469387755102
39,Stratified sampling (confidence),10,1000,0.9685918367346938,0.9538367346938775
40,Anchor Points,10,1000,0.935330612244898,0.9298122448979592
41,tinyBenchmarks,10,1000,0.9592979591836734,0.947134693877551
42,Random (uniform),50,10,0.6355918367346939,0.634269387755102
43,"Random (subtask stratified, equal)",50,10,0.652604081632653,0.6525387755102041
44,Diversity,50,10,0.6243061224489795,0.6238367346938776
45,Stratified sampling (confidence),50,10,0.712204081632653,0.7104081632653061
46,Anchor Points,50,10,0.8578775510204082,0.8548081632653062
47,tinyBenchmarks,50,10,0.7134530612244898,0.7139428571428571
48,Random (uniform),50,25,0.7442775510204082,0.7422040816326531
49,"Random (subtask stratified, equal)",50,25,0.7589551020408163,0.7560979591836735
50,Diversity,50,25,0.7496734693877551,0.7468367346938776
51,Stratified sampling (confidence),50,25,0.8010204081632653,0.7994081632653062
52,Anchor Points,50,25,0.8827102040816327,0.8802285714285715
53,tinyBenchmarks,50,25,0.8113959183673469,0.8073632653061225
54,Random (uniform),50,50,0.8265142857142858,0.8240489795918368
55,"Random (subtask stratified, equal)",50,50,0.8291918367346939,0.8269714285714286
56,Diversity,50,50,0.8191632653061225,0.8149387755102041
57,Stratified sampling (confidence),50,50,0.8536734693877551,0.8490612244897959
58,Anchor Points,50,50,0.9028244897959183,0.8969142857142857
59,tinyBenchmarks,50,50,0.8639673469387755,0.8585469387755102
60,Random (uniform),50,100,0.8760326530612245,0.8711020408163266
61,"Random (subtask stratified, equal)",50,100,0.8801142857142857,0.8741387755102041
62,Diversity,50,100,0.8685306122448979,0.8631020408163266
63,Stratified sampling (confidence),50,100,0.890734693877551,0.8851020408163265
64,Anchor Points,50,100,0.9167673469387755,0.9136326530612245
65,tinyBenchmarks,50,100,0.901469387755102,0.8965877551020408
66,Random (uniform),50,250,0.9208489795918368,0.9139265306122449
67,"Random (subtask stratified, equal)",50,250,0.9251265306122449,0.9162448979591836
68,Diversity,50,250,0.9112040816326531,0.9034897959183673
69,Stratified sampling (confidence),50,250,0.9248979591836735,0.9188979591836735
70,Anchor Points,50,250,0.9270204081632653,0.9224489795918367
71,tinyBenchmarks,50,250,0.9370775510204081,0.9278204081632653
72,Random (uniform),50,500,0.9503510204081632,0.9381387755102041
73,"Random (subtask stratified, equal)",50,500,0.948,0.9373877551020409
74,Diversity,50,500,0.9292857142857143,0.9198163265306123
75,Stratified sampling (confidence),50,500,0.9512448979591837,0.9400612244897959
76,Anchor Points,50,500,0.9336163265306122,0.9276081632653062
77,tinyBenchmarks,50,500,0.9530938775510204,0.9412244897959183
78,Random (uniform),50,1000,0.9646367346938776,0.9501714285714286
79,"Random (subtask stratified, equal)",50,1000,0.9653877551020408,0.9491591836734694
80,Diversity,50,1000,0.9507551020408164,0.9378979591836735
81,Stratified sampling (confidence),50,1000,0.9673673469387755,0.9510816326530612
82,Anchor Points,50,1000,0.936195918367347,0.9292734693877551
83,tinyBenchmarks,50,1000,0.9675755102040816,0.9508897959183673
84,Random (uniform),100,10,0.6389551020408163,0.6366204081632653
85,"Random (subtask stratified, equal)",100,10,0.6397387755102041,0.6373387755102041
86,Diversity,100,10,0.6406938775510204,0.6401428571428571
87,Stratified sampling (confidence),100,10,0.7287959183673469,0.728734693877551
88,Anchor Points,100,10,0.8612571428571428,0.8579918367346939
89,tinyBenchmarks,100,10,0.7271673469387755,0.7236081632653061
90,Random (uniform),100,25,0.7523591836734694,0.7485387755102041
91,"Random (subtask stratified, equal)",100,25,0.7677224489795919,0.7657632653061225
92,Diversity,100,25,0.7375714285714285,0.7367959183673469
