,Dataset,Number of sampled points,Fraction of sampled points,Number of source models,Technique,Mean estimation error against seen accuracies,Mean estimation error against unseen accuracies,Kendall tau correlation against seen accuracies,Kendall tau correlation against unseen accuracies
0,bbh_all,10,10,10,Random (uniform),0.1246597222222222,0.12816174939257205,0.26312628942498745,0.25004161566839717
1,bbh_all,10,10,10,Random (uniform),0.11777083333333334,0.12007566817077403,0.42594317838110096,0.3880235072620491
2,bbh_all,10,10,10,Random (uniform),0.12618749999999998,0.12946893439777857,0.3300538342152603,0.30738555023923964
3,bbh_all,10,10,10,Random (uniform),0.1247986111111111,0.12165150989239847,0.5750687881066182,0.6055033140738907
4,bbh_all,10,10,10,Random (uniform),0.1311111111111111,0.13002290871225267,0.24885281091880315,0.24677256421190516
5,bbh_all,10,10,10,Random (uniform),0.20520138888888886,0.203457827143353,0.43908922466956685,0.4616768011431821
6,bbh_all,10,10,10,Random (uniform),0.11659722222222223,0.11976397084345715,0.44131829615725254,0.4245521279636146
7,bbh_all,10,10,10,Random (uniform),0.12351388888888887,0.11709128774730998,0.4857142857142857,0.47111294089524747
8,bbh_all,10,10,10,Random (uniform),0.16247916666666665,0.16415827837556404,-0.11139254962156343,-0.1269908777761638
9,bbh_all,10,10,10,Random (uniform),0.14055555555555554,0.144125650815689,0.44585082870893744,0.43859470350389396
10,bbh_all,25,25,10,Random (uniform),0.06951805555555556,0.06870975355779244,0.6334598180129066,0.6329424967195828
11,bbh_all,25,25,10,Random (uniform),0.060518055555555554,0.06127261367580701,0.6170324497607315,0.6028101978753849
12,bbh_all,25,25,10,Random (uniform),0.06543194444444443,0.06816105518917043,0.7066510852180008,0.7094705012912161
13,bbh_all,25,25,10,Random (uniform),0.06324583333333332,0.06185241235682054,0.718512987456211,0.752822232913852
14,bbh_all,25,25,10,Random (uniform),0.06810833333333334,0.06843151683443248,0.6153015488607276,0.6170941247331669
15,bbh_all,25,25,10,Random (uniform),0.1034986111111111,0.10105046858729608,0.6122312718328495,0.6244580128493471
16,bbh_all,25,25,10,Random (uniform),0.061061111111111115,0.05796265185699411,0.681222300878398,0.6874711139487001
17,bbh_all,25,25,10,Random (uniform),0.11890833333333331,0.1113832696980215,0.654115967396959,0.6385454398840946
18,bbh_all,25,25,10,Random (uniform),0.07050972222222222,0.07211301631377995,0.6034431160985417,0.600648043784553
19,bbh_all,25,25,10,Random (uniform),0.06489722222222223,0.06823130857341202,0.6841623977968802,0.6746072412582346
20,bbh_all,50,50,10,Random (uniform),0.0496125,0.04958347795904199,0.7831729627776868,0.7552357008148824
21,bbh_all,50,50,10,Random (uniform),0.0398125,0.04028837209302326,0.7049875888525072,0.7061111496788581
22,bbh_all,50,50,10,Random (uniform),0.08325416666666666,0.086162165914613,0.6465620917857782,0.6426745122277396
23,bbh_all,50,50,10,Random (uniform),0.05659861111111111,0.05844928844151337,0.7607036379968282,0.7254895521295378
24,bbh_all,50,50,10,Random (uniform),0.039827777777777774,0.043838389448108306,0.7797817267843927,0.7362081289797182
25,bbh_all,50,50,10,Random (uniform),0.0638125,0.06519486289482819,0.7831446399613126,0.770850746126726
26,bbh_all,50,50,10,Random (uniform),0.06447222222222221,0.06575911141964597,0.6504257180233616,0.6199041734212657
27,bbh_all,50,50,10,Random (uniform),0.04976111111111112,0.05364887191947241,0.7649279537374225,0.7401159379327094
28,bbh_all,50,50,10,Random (uniform),0.06593472222222223,0.06824102742103436,0.7773860725555838,0.7712758628725355
29,bbh_all,50,50,10,Random (uniform),0.04879722222222222,0.04690274210343632,0.7876575472657555,0.7731722725519692
30,bbh_all,100,100,10,Random (uniform),0.02921527777777778,0.031006803193335656,0.8127831648155612,0.8030315912445507
31,bbh_all,100,100,10,Random (uniform),0.04674305555555556,0.044325026032627564,0.7884886084873298,0.7780390639118404
