,Technique,Number of source models,Split,Fraction of sampled points,MDAD,MDAD lower CI,MDAD upper CI
0,Random (uniform),10,seen,10,0.215,0.14500000000000002,0.285
1,Random (uniform),10,unseen,10,0.235,0.20499999999999996,0.265
2,"Random (subtask stratified, equal)",10,seen,10,0.235,0.2,0.26999999999999996
3,"Random (subtask stratified, equal)",10,unseen,10,0.235,0.205,0.265
4,Diversity,10,seen,10,0.2,0.18000000000000002,0.22
5,Diversity,10,unseen,10,0.21,0.18,0.24
6,Stratified sampling (confidence),10,seen,10,0.19,0.14500000000000002,0.235
7,Stratified sampling (confidence),10,unseen,10,0.19,0.175,0.20500000000000002
8,Anchor Points,10,seen,10,0.09,0.075,0.105
9,Anchor Points,10,unseen,10,0.085,0.07,0.1
10,tinyBenchmarks,10,seen,10,0.165,0.15,0.18000000000000002
11,tinyBenchmarks,10,unseen,10,0.155,0.135,0.175
12,Random (uniform),10,seen,25,0.12,0.10499999999999998,0.135
13,Random (uniform),10,unseen,25,0.125,0.1,0.15
14,"Random (subtask stratified, equal)",10,seen,25,0.115,0.105,0.125
15,"Random (subtask stratified, equal)",10,unseen,25,0.115,0.1,0.13
16,Diversity,10,seen,25,0.12,0.10999999999999999,0.13
17,Diversity,10,unseen,25,0.12,0.105,0.135
18,Stratified sampling (confidence),10,seen,25,0.1,0.085,0.115
19,Stratified sampling (confidence),10,unseen,25,0.105,0.08499999999999999,0.125
20,Anchor Points,10,seen,25,0.055,0.039999999999999994,0.07
21,Anchor Points,10,unseen,25,0.065,0.055,0.07500000000000001
22,tinyBenchmarks,10,seen,25,0.095,0.075,0.115
23,tinyBenchmarks,10,unseen,25,0.1,0.09,0.11000000000000001
24,Random (uniform),10,seen,50,0.085,0.075,0.09500000000000001
25,Random (uniform),10,unseen,50,0.085,0.075,0.09500000000000001
26,"Random (subtask stratified, equal)",10,seen,50,0.08,0.075,0.085
27,"Random (subtask stratified, equal)",10,unseen,50,0.08,0.07,0.09
28,Diversity,10,seen,50,0.085,0.075,0.09500000000000001
29,Diversity,10,unseen,50,0.09,0.075,0.105
30,Stratified sampling (confidence),10,seen,50,0.07,0.055,0.08500000000000002
31,Stratified sampling (confidence),10,unseen,50,0.065,0.06,0.07
32,Anchor Points,10,seen,50,0.045,0.039999999999999994,0.05
33,Anchor Points,10,unseen,50,0.045,0.034999999999999996,0.055
34,tinyBenchmarks,10,seen,50,0.075,0.06499999999999999,0.085
35,tinyBenchmarks,10,unseen,50,0.08,0.07,0.09
36,Random (uniform),10,seen,100,0.055,0.05,0.06
37,Random (uniform),10,unseen,100,0.055,0.039999999999999994,0.07
38,"Random (subtask stratified, equal)",10,seen,100,0.05,0.04000000000000001,0.06
39,"Random (subtask stratified, equal)",10,unseen,100,0.055,0.05,0.06
40,Diversity,10,seen,100,0.055,0.045,0.065
41,Diversity,10,unseen,100,0.055,0.045,0.065
42,Stratified sampling (confidence),10,seen,100,0.05,0.04,0.060000000000000005
43,Stratified sampling (confidence),10,unseen,100,0.045,0.034999999999999996,0.055
44,Anchor Points,10,seen,100,0.035,0.035,0.035
45,Anchor Points,10,unseen,100,0.04,0.035,0.045
46,tinyBenchmarks,10,seen,100,0.045,0.039999999999999994,0.05
47,tinyBenchmarks,10,unseen,100,0.055,0.05,0.06
48,Random (uniform),10,seen,250,0.03,0.024999999999999994,0.035
49,Random (uniform),10,unseen,250,0.035,0.03,0.04000000000000001
50,"Random (subtask stratified, equal)",10,seen,250,0.035,0.03,0.04000000000000001
51,"Random (subtask stratified, equal)",10,unseen,250,0.035,0.03,0.04000000000000001
52,Diversity,10,seen,250,0.035,0.02500000000000001,0.045
53,Diversity,10,unseen,250,0.04,0.035,0.045
54,Stratified sampling (confidence),10,seen,250,0.03,0.03,0.03
55,Stratified sampling (confidence),10,unseen,250,0.035,0.03,0.04000000000000001
56,Anchor Points,10,seen,250,0.03,0.024999999999999994,0.035
57,Anchor Points,10,unseen,250,0.035,0.03,0.04000000000000001
58,tinyBenchmarks,10,seen,250,0.035,0.03,0.04000000000000001
59,tinyBenchmarks,10,unseen,250,0.035,0.030000000000000006,0.04
60,Random (uniform),10,seen,500,0.025,0.02,0.030000000000000002
61,Random (uniform),10,unseen,500,0.025,0.025,0.025
62,"Random (subtask stratified, equal)",10,seen,500,0.02,0.02,0.02
63,"Random (subtask stratified, equal)",10,unseen,500,0.025,0.02,0.030000000000000002
64,Diversity,10,seen,500,0.03,0.03,0.03
65,Diversity,10,unseen,500,0.035,0.03,0.04000000000000001
66,Stratified sampling (confidence),10,seen,500,0.02,0.015,0.025
67,Stratified sampling (confidence),10,unseen,500,0.025,0.020000000000000004,0.03
68,Anchor Points,10,seen,500,0.03,0.025,0.034999999999999996
69,Anchor Points,10,unseen,500,0.03,0.024999999999999994,0.035
70,tinyBenchmarks,10,seen,500,0.025,0.02,0.030000000000000002
71,tinyBenchmarks,10,unseen,500,0.03,0.025,0.034999999999999996
72,Random (uniform),10,seen,1000,0.015,0.015,0.015
73,Random (uniform),10,unseen,1000,0.02,0.02,0.02
74,"Random (subtask stratified, equal)",10,seen,1000,0.015,0.01,0.019999999999999997
75,"Random (subtask stratified, equal)",10,unseen,1000,0.02,0.02,0.02
76,Diversity,10,seen,1000,0.025,0.02,0.030000000000000002
77,Diversity,10,unseen,1000,0.025,0.020000000000000004,0.03
78,Stratified sampling (confidence),10,seen,1000,0.01,0.01,0.01
79,Stratified sampling (confidence),10,unseen,1000,0.02,0.015,0.025
80,Anchor Points,10,seen,1000,0.025,0.02,0.030000000000000002
81,Anchor Points,10,unseen,1000,0.025,0.020000000000000004,0.03
82,tinyBenchmarks,10,seen,1000,0.015,0.015,0.015
83,tinyBenchmarks,10,unseen,1000,0.02,0.015,0.025
84,Random (uniform),50,seen,10,0.22,0.20500000000000002,0.235
85,Random (uniform),50,unseen,10,0.23,0.2,0.26
86,"Random (subtask stratified, equal)",50,seen,10,0.19,0.17,0.21
