,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
0,Random (uniform),10,10,0.4990040816326531,0.4498938775510204
1,"Random (subtask stratified, equal)",10,10,0.5072816326530613,0.46915918367346937
2,Diversity,10,10,0.557530612244898,0.5011836734693877
3,Stratified sampling (confidence),10,10,0.5730816326530612,0.5203061224489796
4,Anchor Points,10,10,0.6177959183673469,0.5774857142857143
5,tinyBenchmarks,10,10,0.5651265306122449,0.5194612244897959
6,Random (uniform),10,25,0.5863836734693878,0.5298122448979592
7,"Random (subtask stratified, equal)",10,25,0.5946938775510204,0.5250612244897959
8,Diversity,10,25,0.6612244897959184,0.5853877551020408
9,Stratified sampling (confidence),10,25,0.6617551020408163,0.5871632653061224
10,Anchor Points,10,25,0.6943836734693878,0.6296816326530612
11,tinyBenchmarks,10,25,0.6262040816326531,0.5533877551020409
12,Random (uniform),10,50,0.6745142857142857,0.5606530612244898
13,"Random (subtask stratified, equal)",10,50,0.6921306122448979,0.5792
14,Diversity,10,50,0.7236530612244898,0.6289795918367347
15,Stratified sampling (confidence),10,50,0.7215102040816327,0.6097142857142858
16,Anchor Points,10,50,0.7282612244897959,0.6541877551020409
17,tinyBenchmarks,10,50,0.6812897959183674,0.5895020408163265
18,Random (uniform),10,100,0.7825142857142857,0.6357551020408163
19,"Random (subtask stratified, equal)",10,100,0.7714612244897959,0.6311346938775511
20,Diversity,10,100,0.7884897959183673,0.6582448979591837
21,Stratified sampling (confidence),10,100,0.8010408163265306,0.6552857142857142
22,Anchor Points,10,100,0.7724244897959184,0.6790857142857143
23,tinyBenchmarks,10,100,0.7603755102040817,0.6319836734693878
24,Random (uniform),10,200,0.9138612244897959,0.6715102040816326
25,"Random (subtask stratified, equal)",10,200,0.9138448979591837,0.6735673469387755
26,Diversity,10,200,0.8985510204081633,0.650734693877551
27,Stratified sampling (confidence),10,200,0.933265306122449,0.6886734693877551
28,Anchor Points,10,200,0.8392163265306123,0.7205714285714285
29,tinyBenchmarks,10,200,0.9059265306122449,0.6810775510204081
30,Random (uniform),50,10,0.4927020408163265,0.4672
31,"Random (subtask stratified, equal)",50,10,0.491869387755102,0.45709387755102043
32,Diversity,50,10,0.5474489795918367,0.5087551020408163
33,Stratified sampling (confidence),50,10,0.585204081632653,0.5278979591836734
34,Anchor Points,50,10,0.6732897959183674,0.6321795918367347
35,tinyBenchmarks,50,10,0.5674448979591836,0.5203918367346939
36,Random (uniform),50,25,0.5906775510204082,0.5071836734693878
37,"Random (subtask stratified, equal)",50,25,0.5897632653061224,0.5195918367346939
38,Diversity,50,25,0.6445102040816326,0.5865102040816327
39,Stratified sampling (confidence),50,25,0.6550816326530612,0.5751224489795919
40,Anchor Points,50,25,0.7124081632653061,0.653469387755102
41,tinyBenchmarks,50,25,0.6385469387755102,0.5632
42,Random (uniform),50,50,0.6567020408163265,0.5575346938775511
43,"Random (subtask stratified, equal)",50,50,0.6515755102040817,0.5523428571428571
44,Diversity,50,50,0.7129795918367346,0.6366734693877552
45,Stratified sampling (confidence),50,50,0.7254693877551021,0.6295510204081632
46,Anchor Points,50,50,0.7453061224489796,0.6672
47,tinyBenchmarks,50,50,0.6918204081632653,0.6028408163265306
48,Random (uniform),50,100,0.7701551020408163,0.6235755102040816
49,"Random (subtask stratified, equal)",50,100,0.7521959183673469,0.604130612244898
50,Diversity,50,100,0.7736938775510204,0.6674081632653062
51,Stratified sampling (confidence),50,100,0.8041020408163265,0.6664897959183673
52,Anchor Points,50,100,0.7760489795918367,0.6870693877551021
53,tinyBenchmarks,50,100,0.7729795918367347,0.639330612244898
54,Random (uniform),50,200,0.9080489795918367,0.6718204081632653
55,"Random (subtask stratified, equal)",50,200,0.9076244897959184,0.6661551020408163
56,Diversity,50,200,0.8924489795918368,0.6485102040816326
57,Stratified sampling (confidence),50,200,0.9237551020408163,0.6933673469387756
58,Anchor Points,50,200,0.8298285714285715,0.717469387755102
59,tinyBenchmarks,50,200,0.9044734693877551,0.6768816326530612
60,Random (uniform),100,10,0.5025142857142857,0.46177959183673467
61,"Random (subtask stratified, equal)",100,10,0.4763265306122449,0.4381551020408163
62,Diversity,100,10,0.5147755102040816,0.49179591836734693
63,Stratified sampling (confidence),100,10,0.581469387755102,0.5374285714285715
64,Anchor Points,100,10,0.6878530612244897,0.6421061224489796
65,tinyBenchmarks,100,10,0.5905795918367347,0.5362285714285714
66,Random (uniform),100,25,0.5805551020408163,0.5238693877551021
67,"Random (subtask stratified, equal)",100,25,0.6037714285714286,0.5308244897959183
68,Diversity,100,25,0.637061224489796,0.5917142857142857
69,Stratified sampling (confidence),100,25,0.6517551020408163,0.5912448979591837
70,Anchor Points,100,25,0.7275102040816327,0.6696816326530612
71,tinyBenchmarks,100,25,0.6472653061224489,0.5677061224489796
72,Random (uniform),100,50,0.6794122448979591,0.5743510204081632
73,"Random (subtask stratified, equal)",100,50,0.6911673469387755,0.5931428571428572
74,Diversity,100,50,0.713,0.6455510204081633
75,Stratified sampling (confidence),100,50,0.7211224489795919,0.6243061224489795
