,Dataset,Number of sampled points,Fraction of sampled points,Number of source models,Technique,Mean estimation error against seen accuracies,Mean estimation error against unseen accuracies,Kendall tau correlation against seen accuracies,Kendall tau correlation against unseen accuracies
0,gpqa_all,10,10,10,Random (uniform),0.17623214285714284,0.18410714285714286,0.3478185467108523,0.14259049489219938
1,gpqa_all,10,10,10,Random (uniform),0.09662499999999997,0.09530357142857143,0.07700228421038786,-0.03867972731955916
2,gpqa_all,10,10,10,Random (uniform),0.14398214285714286,0.14544642857142856,0.5202618641061988,0.37815319284594734
3,gpqa_all,10,10,10,Random (uniform),0.11676785714285716,0.11664285714285713,0.27914589910490095,0.1797696282635474
4,gpqa_all,10,10,10,Random (uniform),0.08837499999999998,0.1006964285714286,0.31624499390524596,0.1364173231851302
5,gpqa_all,10,10,10,Random (uniform),0.09985714285714285,0.09551785714285714,0.15280640671922413,0.12994702262139232
6,gpqa_all,10,10,10,Random (uniform),0.11676785714285716,0.10833928571428571,-0.07832740846991411,0.0862774799324136
7,gpqa_all,10,10,10,Random (uniform),0.11148214285714285,0.11657142857142859,0.3304450856949603,0.16788936732258736
8,gpqa_all,10,10,10,Random (uniform),0.11657142857142859,0.12601785714285715,0.17138950554953108,0.08630986451472744
9,gpqa_all,10,10,10,Random (uniform),0.10173214285714285,0.12019642857142859,0.4292670917748459,0.19493616537661443
10,gpqa_all,25,25,10,Random (uniform),0.07143928571428572,0.07483571428571428,0.31836853114207614,0.11932874423704497
11,gpqa_all,25,25,10,Random (uniform),0.06828928571428572,0.06685357142857141,0.28678339004606607,0.21430673394573613
12,gpqa_all,25,25,10,Random (uniform),0.07591071428571429,0.08943214285714285,0.5629198582065146,0.2565550516841503
13,gpqa_all,25,25,10,Random (uniform),0.06563928571428572,0.07304285714285715,0.3643765956355064,0.2397232029338664
14,gpqa_all,25,25,10,Random (uniform),0.047139285714285724,0.04819642857142857,0.39312504521358554,0.4055486469656632
15,gpqa_all,25,25,10,Random (uniform),0.08687857142857144,0.10538214285714285,0.32581965969459387,-0.034442272738365885
16,gpqa_all,25,25,10,Random (uniform),0.07845357142857141,0.07556785714285714,0.08771153710332337,0.07682377523871413
17,gpqa_all,25,25,10,Random (uniform),0.060525,0.07043571428571428,0.28685152105251727,-0.03035244904348716
18,gpqa_all,25,25,10,Random (uniform),0.06515000000000001,0.06988214285714285,0.515653308825437,0.34101192305309713
19,gpqa_all,25,25,10,Random (uniform),0.07611071428571428,0.07605357142857143,0.04895013299769204,0.041078306095727525
20,gpqa_all,50,50,10,Random (uniform),0.04458928571428571,0.0472642857142857,0.2875913618694013,0.1562405818460099
21,gpqa_all,50,50,10,Random (uniform),0.04181785714285713,0.05902499999999999,0.5925350184013904,0.3256398645934334
22,gpqa_all,50,50,10,Random (uniform),0.03681785714285715,0.050824999999999995,0.6425041643059812,0.38640291733449145
