,Technique,Number of source models,Split,Fraction of sampled points,MDAD,MDAD lower CI,MDAD upper CI
0,Random (uniform),10,seen,10,0.19,0.155,0.225
1,Random (uniform),10,unseen,10,0.235,0.19,0.27999999999999997
2,"Random (subtask stratified, equal)",10,seen,10,0.17,0.09500000000000003,0.245
3,"Random (subtask stratified, equal)",10,unseen,10,0.225,0.175,0.275
4,Diversity,10,seen,10,0.135,0.10500000000000001,0.165
5,Diversity,10,unseen,10,0.16,0.065,0.255
6,Stratified sampling (confidence),10,seen,10,0.16,0.095,0.225
7,Stratified sampling (confidence),10,unseen,10,0.185,0.13,0.24
8,Anchor Points,10,seen,10,0.125,0.095,0.155
9,Anchor Points,10,unseen,10,0.19,0.15,0.23
10,tinyBenchmarks,10,seen,10,0.175,0.16,0.18999999999999997
11,tinyBenchmarks,10,unseen,10,0.225,0.19,0.26
12,Random (uniform),10,seen,25,0.125,0.1,0.15
13,Random (uniform),10,unseen,25,0.175,0.15,0.19999999999999998
14,"Random (subtask stratified, equal)",10,seen,25,0.115,0.1,0.13
15,"Random (subtask stratified, equal)",10,unseen,25,0.185,0.16,0.21
16,Diversity,10,seen,25,0.08,0.07,0.09
17,Diversity,10,unseen,25,0.135,0.09000000000000002,0.18
18,Stratified sampling (confidence),10,seen,25,0.09,0.07999999999999999,0.1
19,Stratified sampling (confidence),10,unseen,25,0.185,0.13,0.24
20,Anchor Points,10,seen,25,0.07,0.06000000000000001,0.08
21,Anchor Points,10,unseen,25,0.11,0.095,0.125
22,tinyBenchmarks,10,seen,25,0.125,0.105,0.14500000000000002
23,tinyBenchmarks,10,unseen,25,0.185,0.16,0.21
24,Random (uniform),10,seen,50,0.075,0.06999999999999999,0.08
25,Random (uniform),10,unseen,50,0.17,0.09000000000000002,0.25
26,"Random (subtask stratified, equal)",10,seen,50,0.07,0.065,0.07500000000000001
27,"Random (subtask stratified, equal)",10,unseen,50,0.13,0.11000000000000001,0.15
28,Diversity,10,seen,50,0.06,0.055,0.065
29,Diversity,10,unseen,50,0.1,0.09,0.11000000000000001
30,Stratified sampling (confidence),10,seen,50,0.065,0.06,0.07
31,Stratified sampling (confidence),10,unseen,50,0.155,0.115,0.195
32,Anchor Points,10,seen,50,0.06,0.055,0.065
33,Anchor Points,10,unseen,50,0.1,0.085,0.115
34,tinyBenchmarks,10,seen,50,0.085,0.075,0.09500000000000001
35,tinyBenchmarks,10,unseen,50,0.16,0.12,0.2
36,Random (uniform),10,seen,100,0.04,0.04,0.04
37,Random (uniform),10,unseen,100,0.095,0.075,0.115
38,"Random (subtask stratified, equal)",10,seen,100,0.045,0.04,0.049999999999999996
39,"Random (subtask stratified, equal)",10,unseen,100,0.105,0.09,0.12
40,Diversity,10,seen,100,0.04,0.04,0.04
41,Diversity,10,unseen,100,0.09,0.06999999999999999,0.11
42,Stratified sampling (confidence),10,seen,100,0.04,0.035,0.045
43,Stratified sampling (confidence),10,unseen,100,0.11,0.085,0.135
44,Anchor Points,10,seen,100,0.045,0.045,0.045
45,Anchor Points,10,unseen,100,0.075,0.06,0.09
46,tinyBenchmarks,10,seen,100,0.05,0.045,0.05500000000000001
47,tinyBenchmarks,10,unseen,100,0.115,0.09,0.14
48,Random (uniform),10,seen,200,0.015,0.015,0.015
49,Random (uniform),10,unseen,200,0.08,0.075,0.085
50,"Random (subtask stratified, equal)",10,seen,200,0.015,0.015,0.015
51,"Random (subtask stratified, equal)",10,unseen,200,0.08,0.075,0.085
52,Diversity,10,seen,200,0.015,0.015,0.015
53,Diversity,10,unseen,200,0.095,0.08,0.11
54,Stratified sampling (confidence),10,seen,200,0.01,0.01,0.01
55,Stratified sampling (confidence),10,unseen,200,0.075,0.06499999999999999,0.085
56,Anchor Points,10,seen,200,0.03,0.025,0.034999999999999996
57,Anchor Points,10,unseen,200,0.065,0.055,0.07500000000000001
58,tinyBenchmarks,10,seen,200,0.015,0.015,0.015
59,tinyBenchmarks,10,unseen,200,0.08,0.07,0.09
60,Random (uniform),50,seen,10,0.19,0.155,0.225
61,Random (uniform),50,unseen,10,0.25,0.17,0.32999999999999996
62,"Random (subtask stratified, equal)",50,seen,10,0.175,0.11999999999999997,0.23
63,"Random (subtask stratified, equal)",50,unseen,10,0.175,0.10499999999999998,0.245
64,Diversity,50,seen,10,0.15,0.11,0.19
65,Diversity,50,unseen,10,0.13,0.05000000000000002,0.21
66,Stratified sampling (confidence),50,seen,10,0.14,0.09500000000000003,0.185
67,Stratified sampling (confidence),50,unseen,10,0.205,0.175,0.235
68,Anchor Points,50,seen,10,0.08,0.065,0.095
69,Anchor Points,50,unseen,10,0.11,0.095,0.125
70,tinyBenchmarks,50,seen,10,0.185,0.13999999999999999,0.23
71,tinyBenchmarks,50,unseen,10,0.215,0.17,0.26
72,Random (uniform),50,seen,25,0.12,0.10499999999999998,0.135
73,Random (uniform),50,unseen,25,0.185,0.155,0.215
74,"Random (subtask stratified, equal)",50,seen,25,0.115,0.11000000000000001,0.12
75,"Random (subtask stratified, equal)",50,unseen,25,0.22,0.175,0.265
76,Diversity,50,seen,25,0.085,0.075,0.09500000000000001
77,Diversity,50,unseen,25,0.13,0.1,0.16
78,Stratified sampling (confidence),50,seen,25,0.105,0.085,0.12499999999999999
79,Stratified sampling (confidence),50,unseen,25,0.18,0.13,0.22999999999999998
80,Anchor Points,50,seen,25,0.06,0.04999999999999999,0.07
81,Anchor Points,50,unseen,25,0.085,0.06000000000000001,0.11
82,tinyBenchmarks,50,seen,25,0.11,0.095,0.125
83,tinyBenchmarks,50,unseen,25,0.185,0.14,0.22999999999999998
84,Random (uniform),50,seen,50,0.08,0.075,0.085
85,Random (uniform),50,unseen,50,0.15,0.13,0.16999999999999998
86,"Random (subtask stratified, equal)",50,seen,50,0.085,0.075,0.09500000000000001
87,"Random (subtask stratified, equal)",50,unseen,50,0.15,0.11499999999999999,0.185
88,Diversity,50,seen,50,0.055,0.05,0.06
89,Diversity,50,unseen,50,0.09,0.08499999999999999,0.095
