,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
0,Random (uniform),10,10,0.5789877551020408,0.5777142857142857
1,"Random (subtask stratified, equal)",10,10,0.5986448979591836,0.5980571428571428
2,Diversity,10,10,0.6101428571428571,0.6091836734693877
3,Stratified sampling (confidence),10,10,0.6911836734693878,0.6884285714285714
4,Anchor Points,10,10,0.843395918367347,0.8402612244897959
5,tinyBenchmarks,10,10,0.687934693877551,0.6865795918367347
6,Random (uniform),10,25,0.7412734693877551,0.7408326530612245
7,"Random (subtask stratified, equal)",10,25,0.726204081632653,0.7234122448979592
8,Diversity,10,25,0.7488775510204082,0.7485102040816326
9,Stratified sampling (confidence),10,25,0.7845510204081633,0.7829795918367347
10,Anchor Points,10,25,0.8857469387755103,0.8840816326530613
11,tinyBenchmarks,10,25,0.7821224489795918,0.7818775510204081
12,Random (uniform),10,50,0.8034122448979591,0.8013061224489796
13,"Random (subtask stratified, equal)",10,50,0.8160979591836734,0.8136489795918367
14,Diversity,10,50,0.8146122448979591,0.8133469387755102
15,Stratified sampling (confidence),10,50,0.831469387755102,0.8291836734693877
16,Anchor Points,10,50,0.9000816326530612,0.8986775510204081
17,tinyBenchmarks,10,50,0.840865306122449,0.8395755102040816
18,Random (uniform),10,100,0.8672816326530612,0.865730612244898
19,"Random (subtask stratified, equal)",10,100,0.8692244897959184,0.8654693877551021
20,Diversity,10,100,0.8621224489795918,0.8604489795918367
21,Stratified sampling (confidence),10,100,0.8888367346938776,0.8840816326530613
22,Anchor Points,10,100,0.9180081632653061,0.9156244897959184
23,tinyBenchmarks,10,100,0.8783673469387755,0.8747918367346939
24,Random (uniform),10,250,0.9175183673469388,0.9138448979591837
25,"Random (subtask stratified, equal)",10,250,0.9151183673469387,0.9112816326530613
26,Diversity,10,250,0.9106938775510204,0.9074897959183673
27,Stratified sampling (confidence),10,250,0.9215510204081633,0.9160612244897959
28,Anchor Points,10,250,0.9245714285714286,0.9217632653061224
29,tinyBenchmarks,10,250,0.9197877551020408,0.9166204081632653
30,Random (uniform),10,500,0.9446204081632653,0.9392163265306123
31,"Random (subtask stratified, equal)",10,500,0.9365061224489796,0.9314448979591837
32,Diversity,10,500,0.9393469387755102,0.936
33,Stratified sampling (confidence),10,500,0.9463673469387756,0.9415102040816327
34,Anchor Points,10,500,0.9292734693877551,0.9258775510204081
35,tinyBenchmarks,10,500,0.9438040816326531,0.9385959183673469
36,Random (uniform),10,1000,0.9633142857142857,0.956538775510204
37,"Random (subtask stratified, equal)",10,1000,0.9540734693877551,0.9492244897959183
38,Diversity,10,1000,0.9569387755102041,0.9494285714285714
39,Stratified sampling (confidence),10,1000,0.9643061224489796,0.9559591836734694
40,Anchor Points,10,1000,0.9301387755102041,0.9266448979591837
41,tinyBenchmarks,10,1000,0.9597061224489796,0.9534040816326531
42,Random (uniform),50,10,0.6072489795918368,0.6068408163265306
