,Dataset,Number of sampled points,Fraction of sampled points,Number of source models,Technique,Mean estimation error against seen accuracies,Mean estimation error against unseen accuracies,Kendall tau correlation against seen accuracies,Kendall tau correlation against unseen accuracies
0,mmlu_all,10,10,10,Random (uniform),0.14175725593667546,0.1387661971830986,0.5865707188761826,0.5727377930965548
1,mmlu_all,10,10,10,Random (uniform),0.08409875612514135,0.08510798122065727,0.5977444896822837,0.605281362610375
2,mmlu_all,10,10,10,Random (uniform),0.1135212966453072,0.11215399061032864,0.4499058032821943,0.4524313002310686
3,mmlu_all,10,10,10,Random (uniform),0.12676441764040708,0.12733521126760564,0.67605197203265,0.6780939503330065
4,mmlu_all,10,10,10,Random (uniform),0.1322487749717301,0.13791361502347418,0.5929642909840023,0.5943373336035981
5,mmlu_all,10,10,10,Random (uniform),0.11028948360346776,0.11054835680751174,0.5762733672762737,0.5863102643760104
6,mmlu_all,10,10,10,Random (uniform),0.19552732755371277,0.19135586854460093,0.6663194866106389,0.6680939725936234
7,mmlu_all,10,10,10,Random (uniform),0.11118808895589899,0.11205446009389669,0.5094936102964643,0.5320215760519282
8,mmlu_all,10,10,10,Random (uniform),0.1175152657369016,0.11790610328638497,0.2176937239137403,0.21406549518184467
9,mmlu_all,10,10,10,Random (uniform),0.12464379947229551,0.12659342723004696,0.6453092008714734,0.6142874429895495
10,mmlu_all,25,25,10,Random (uniform),0.05915446664153788,0.061348356807511745,0.732603874615562,0.7229053135045342
11,mmlu_all,25,25,10,Random (uniform),0.04871903505465511,0.04783474178403758,0.6616540895669023,0.6679734575901037
12,mmlu_all,25,25,10,Random (uniform),0.07624847342630985,0.07663098591549296,0.6131771961969654,0.603614443892099
13,mmlu_all,25,25,10,Random (uniform),0.06557331323030531,0.06350798122065728,0.6329063200681241,0.6459646350905063
14,mmlu_all,25,25,10,Random (uniform),0.08186068601583113,0.07566572769953055,0.6277103750738116,0.6213103699964871
15,mmlu_all,25,25,10,Random (uniform),0.11691519035054654,0.11600751173708918,0.660963011587811,0.6569336536770298
16,mmlu_all,25,25,10,Random (uniform),0.05535921598190729,0.053149295774647894,0.704381178138918,0.6992769667031286
17,mmlu_all,25,25,10,Random (uniform),0.11461831888428195,0.11217276995305164,0.5600503036649329,0.567621038076048
18,mmlu_all,25,25,10,Random (uniform),0.09441975122502827,0.09442629107981221,0.5178351231562821,0.5108609127434028
19,mmlu_all,25,25,10,Random (uniform),0.07247357708254806,0.07285258215962441,0.4733485757828718,0.4802704506241897
20,mmlu_all,50,50,10,Random (uniform),0.048889106671692426,0.05139342723004695,0.5824228676001734,0.5762874171997122
21,mmlu_all,50,50,10,Random (uniform),0.055456765925367524,0.05392300469483569,0.7257367463776943,0.7151470754508255
22,mmlu_all,50,50,10,Random (uniform),0.04723693931398417,0.0460150234741784,0.6557797474044931,0.6538225635650713
23,mmlu_all,50,50,10,Random (uniform),0.0535369770071617,0.05316995305164318,0.7466095098448299,0.7410066373300023
24,mmlu_all,50,50,10,Random (uniform),0.04722005277044855,0.050238497652582155,0.5450904272127556,0.5320032700012187
25,mmlu_all,50,50,10,Random (uniform),0.041863701470033925,0.041500469483568087,0.7509947505265377,0.7538169850983893
26,mmlu_all,50,50,10,Random (uniform),0.15112732755371278,0.14695586854460094,0.693036747076283,0.703129515237588
27,mmlu_all,50,50,10,Random (uniform),0.041388164342254063,0.04032488262910799,0.7085453057209704,0.7032030881881077
28,mmlu_all,50,50,10,Random (uniform),0.03712476441764041,0.03753427230046948,0.7624245530636958,0.7490486837117011
29,mmlu_all,50,50,10,Random (uniform),0.05944289483603466,0.057855399061032854,0.7719983640421082,0.7874997903195279
30,mmlu_all,100,100,10,Random (uniform),0.03256607614021863,0.034917370892018795,0.8419612734707441,0.8242390122543404
31,mmlu_all,100,100,10,Random (uniform),0.04370147003392386,0.04618215962441313,0.7866610449020974,0.793602843533456
32,mmlu_all,100,100,10,Random (uniform),0.07183015454202789,0.06836713615023474,0.6199041734212657,0.617155860323957
33,mmlu_all,100,100,10,Random (uniform),0.03154376177911798,0.031746478873239455,0.774684263572787,0.7725033381277356
34,mmlu_all,100,100,10,Random (uniform),0.05606912928759894,0.06594835680751171,0.7449624944129842,0.7305430583843817
35,mmlu_all,100,100,10,Random (uniform),0.031034376177911806,0.03119906103286385,0.8176186185816148,0.8171246577341439
36,mmlu_all,100,100,10,Random (uniform),0.03574338484734264,0.03649389671361503,0.7918015858339152,0.793458074507208
37,mmlu_all,100,100,10,Random (uniform),0.04142367131549189,0.03976619718309859,0.7825108320908591,0.7913058928432617
38,mmlu_all,100,100,10,Random (uniform),0.03258552581982661,0.032635680751173714,0.7982829022276802,0.7667170850740361
39,mmlu_all,100,100,10,Random (uniform),0.028180399547681877,0.028438497652582172,0.8214705875021624,0.8343927058567169
40,mmlu_all,250,250,10,Random (uniform),0.030887418017338863,0.03012507042253521,0.7212327138270039,0.6987429100016723
41,mmlu_all,250,250,10,Random (uniform),0.03405129287598945,0.031629295774647896,0.7475490728263928,0.7420955748543497
42,mmlu_all,250,250,10,Random (uniform),0.02388306068601584,0.021964319248826296,0.8344599413384473,0.8365895205535754
43,mmlu_all,250,250,10,Random (uniform),0.021669355446664155,0.02680525821596245,0.8774176976934456,0.8605486664209724
44,mmlu_all,250,250,10,Random (uniform),0.013229581605729367,0.018718873239436613,0.9047031952941412,0.8824159367490199
45,mmlu_all,250,250,10,Random (uniform),0.0374473577082548,0.03716732394366198,0.8939864778955544,0.8755145181956212
46,mmlu_all,250,250,10,Random (uniform),0.016051956275914058,0.016959624413145535,0.8970980946510555,0.8856178630924497
47,mmlu_all,250,250,10,Random (uniform),0.034961869581605735,0.03750798122065727,0.8970950785008004,0.8959091634718956
48,mmlu_all,250,250,10,Random (uniform),0.02927532604598567,0.02739530516431925,0.8489429770373057,0.8382696127225233
49,mmlu_all,250,250,10,Random (uniform),0.03334857142857143,0.03641352112676057,0.8987351060666154,0.9139421018034435
50,mmlu_all,500,500,10,Random (uniform),0.043957497173011666,0.04049971830985915,0.8872549131059104,0.8893517313513328
51,mmlu_all,500,500,10,Random (uniform),0.009979856765925376,0.012231361502347417,0.9221361039429301,0.9085728276851642
52,mmlu_all,500,500,10,Random (uniform),0.01234624952883528,0.012117370892018777,0.8789863935868532,0.8908874696896845
53,mmlu_all,500,500,10,Random (uniform),0.013457534866189225,0.01581765258215963,0.8806977638530472,0.8818778040062395
54,mmlu_all,500,500,10,Random (uniform),0.013110320392009052,0.014803004694835677,0.8947213620951908,0.8560920867358406
55,mmlu_all,500,500,10,Random (uniform),0.01755705993215229,0.019845258215962443,0.9054478429967795,0.8853425576889302
56,mmlu_all,500,500,10,Random (uniform),0.009471963814549575,0.012378967136150242,0.9497350823664344,0.9431964587356843
57,mmlu_all,500,500,10,Random (uniform),0.013502826988315121,0.013264413145539918,0.9204967508692539,0.9012760973486353
58,mmlu_all,500,500,10,Random (uniform),0.01555237090086695,0.01977558685446009,0.9201820336731036,0.8890726766628029
59,mmlu_all,500,500,10,Random (uniform),0.022026641537881645,0.024441502347417852,0.9024638670588142,0.8734184725214957
60,mmlu_all,1000,1000,10,Random (uniform),0.014527169242367131,0.01843389671361502,0.952575952119706,0.9366578351049343
61,mmlu_all,1000,1000,10,Random (uniform),0.007324568413117219,0.009597183098591549,0.9452169962664206,0.9292434315048425
62,mmlu_all,1000,1000,10,Random (uniform),0.011201575574820958,0.014857934272300468,0.946034658027897,0.9431964587356843
63,mmlu_all,1000,1000,10,Random (uniform),0.0130828043724086,0.013824976525821597,0.9264117048105964,0.9128841227629693
64,mmlu_all,1000,1000,10,Random (uniform),0.011676260836788544,0.012430610328638503,0.9108047087006657,0.8869790768830103
65,mmlu_all,1000,1000,10,Random (uniform),0.008872679984922738,0.009848356807511737,0.956699665693425,0.9595423768144925
66,mmlu_all,1000,1000,10,Random (uniform),0.01201754994346023,0.0157637558685446,0.9489588377885491,0.9489588377885491
67,mmlu_all,1000,1000,10,Random (uniform),0.006355785902751606,0.008806478873239439,0.9497344479203069,0.9305558661185408
68,mmlu_all,1000,1000,10,Random (uniform),0.0104442140972484,0.011742065727699534,0.9222598276824038,0.8993465400381205
69,mmlu_all,1000,1000,10,Random (uniform),0.01801391632114587,0.022647511737089204,0.9517197689393396,0.9194293253839828
70,mmlu_all,10,10,10,Anchor Points,0.07889659145014606,0.07557419385845181,0.37893020717201953,0.3730612244897959
71,mmlu_all,10,10,10,Anchor Points,0.06771263013220928,0.06910464841560243,0.6712944618435346,0.6821897701571391
72,mmlu_all,10,10,10,Anchor Points,0.09776542997303789,0.09439390069282388,0.7398938959005381,0.7453061224489795
73,mmlu_all,10,10,10,Anchor Points,0.04781837535096527,0.04798379800984902,0.6342857142857142,0.6239281859470323
