,Technique,Number of source models,Split,Fraction of sampled points,MDAD,MDAD lower CI,MDAD upper CI
0,Random (uniform),10,seen,10,0.23,0.19,0.27
1,Random (uniform),10,unseen,10,0.205,0.15999999999999998,0.25
2,"Random (subtask stratified, equal)",10,seen,10,0.21,0.16,0.26
3,"Random (subtask stratified, equal)",10,unseen,10,0.185,0.145,0.225
4,Diversity,10,seen,10,0.185,0.16,0.21
5,Diversity,10,unseen,10,0.195,0.175,0.21500000000000002
6,Stratified sampling (confidence),10,seen,10,0.16,0.14,0.18
7,Stratified sampling (confidence),10,unseen,10,0.165,0.14,0.19
8,Anchor Points,10,seen,10,0.06,0.05499999999999999,0.065
9,Anchor Points,10,unseen,10,0.06,0.05,0.06999999999999999
10,tinyBenchmarks,10,seen,10,0.14,0.12000000000000002,0.16
11,tinyBenchmarks,10,unseen,10,0.14,0.125,0.15500000000000003
12,Random (uniform),10,seen,25,0.1,0.085,0.115
13,Random (uniform),10,unseen,25,0.1,0.085,0.115
14,"Random (subtask stratified, equal)",10,seen,25,0.105,0.07499999999999998,0.135
15,"Random (subtask stratified, equal)",10,unseen,25,0.11,0.09,0.13
16,Diversity,10,seen,25,0.1,0.08,0.12000000000000001
17,Diversity,10,unseen,25,0.1,0.085,0.115
18,Stratified sampling (confidence),10,seen,25,0.095,0.09,0.1
19,Stratified sampling (confidence),10,unseen,25,0.095,0.085,0.105
20,Anchor Points,10,seen,25,0.04,0.025,0.055
21,Anchor Points,10,unseen,25,0.045,0.03,0.06
22,tinyBenchmarks,10,seen,25,0.09,0.08,0.09999999999999999
23,tinyBenchmarks,10,unseen,25,0.085,0.075,0.09500000000000001
24,Random (uniform),10,seen,50,0.075,0.06499999999999999,0.085
25,Random (uniform),10,unseen,50,0.085,0.07,0.1
26,"Random (subtask stratified, equal)",10,seen,50,0.065,0.05500000000000001,0.075
27,"Random (subtask stratified, equal)",10,unseen,50,0.07,0.055,0.08500000000000002
28,Diversity,10,seen,50,0.07,0.065,0.07500000000000001
29,Diversity,10,unseen,50,0.07,0.06,0.08000000000000002
30,Stratified sampling (confidence),10,seen,50,0.06,0.04999999999999999,0.07
31,Stratified sampling (confidence),10,unseen,50,0.07,0.06,0.08000000000000002
32,Anchor Points,10,seen,50,0.03,0.019999999999999997,0.04
33,Anchor Points,10,unseen,50,0.035,0.025,0.045000000000000005
34,tinyBenchmarks,10,seen,50,0.06,0.05,0.06999999999999999
35,tinyBenchmarks,10,unseen,50,0.06,0.05,0.06999999999999999
36,Random (uniform),10,seen,100,0.045,0.039999999999999994,0.05
37,Random (uniform),10,unseen,100,0.045,0.039999999999999994,0.05
38,"Random (subtask stratified, equal)",10,seen,100,0.045,0.039999999999999994,0.05
39,"Random (subtask stratified, equal)",10,unseen,100,0.045,0.045,0.045
40,Diversity,10,seen,100,0.045,0.039999999999999994,0.05
41,Diversity,10,unseen,100,0.05,0.045,0.05500000000000001
42,Stratified sampling (confidence),10,seen,100,0.04,0.035,0.045
43,Stratified sampling (confidence),10,unseen,100,0.04,0.035,0.045
44,Anchor Points,10,seen,100,0.03,0.02,0.039999999999999994
45,Anchor Points,10,unseen,100,0.03,0.02,0.039999999999999994
46,tinyBenchmarks,10,seen,100,0.04,0.035,0.045
47,tinyBenchmarks,10,unseen,100,0.04,0.035,0.045
48,Random (uniform),10,seen,250,0.025,0.020000000000000004,0.03
49,Random (uniform),10,unseen,250,0.03,0.025,0.034999999999999996
50,"Random (subtask stratified, equal)",10,seen,250,0.03,0.025,0.034999999999999996
51,"Random (subtask stratified, equal)",10,unseen,250,0.03,0.024999999999999994,0.035
52,Diversity,10,seen,250,0.03,0.025,0.034999999999999996
53,Diversity,10,unseen,250,0.03,0.024999999999999994,0.035
