,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
0,Random (uniform),10,10,0.5855020408163265,0.5843265306122449
1,"Random (subtask stratified, equal)",10,10,0.617534693877551,0.6166367346938776
2,Diversity,10,10,0.6101428571428571,0.6091836734693877
3,Stratified sampling (confidence),10,10,0.6911836734693878,0.6884285714285714
4,Anchor Points,10,10,0.8438367346938775,0.8410938775510204
5,tinyBenchmarks,10,10,0.6984326530612245,0.6972897959183674
6,Random (uniform),10,25,0.7559673469387755,0.7549224489795918
7,"Random (subtask stratified, equal)",10,25,0.7488816326530612,0.7465795918367347
8,Diversity,10,25,0.7488775510204082,0.7485102040816326
9,Stratified sampling (confidence),10,25,0.7845510204081633,0.7829795918367347
10,Anchor Points,10,25,0.8827102040816327,0.8816979591836734
11,tinyBenchmarks,10,25,0.7987591836734694,0.7975510204081633
12,Random (uniform),10,50,0.8116897959183673,0.8095673469387755
13,"Random (subtask stratified, equal)",10,50,0.8258775510204082,0.8239020408163266
14,Diversity,10,50,0.8146122448979591,0.8133469387755102
15,Stratified sampling (confidence),10,50,0.831469387755102,0.8291836734693877
16,Anchor Points,10,50,0.8980897959183674,0.8966530612244898
17,tinyBenchmarks,10,50,0.8436734693877551,0.8410612244897959
18,Random (uniform),10,100,0.8739265306122449,0.8723428571428572
19,"Random (subtask stratified, equal)",10,100,0.8777959183673469,0.874595918367347
20,Diversity,10,100,0.8621224489795918,0.8604489795918367
21,Stratified sampling (confidence),10,100,0.8888367346938776,0.8840816326530613
22,Anchor Points,10,100,0.9148734693877552,0.9133714285714286
23,tinyBenchmarks,10,100,0.8834285714285715,0.8799836734693878
24,Random (uniform),10,250,0.9222204081632653,0.9186938775510204
25,"Random (subtask stratified, equal)",10,250,0.920995918367347,0.9169142857142857
26,Diversity,10,250,0.9106938775510204,0.9074897959183673
27,Stratified sampling (confidence),10,250,0.9215510204081633,0.9160612244897959
28,Anchor Points,10,250,0.9226938775510204,0.9208326530612245
29,tinyBenchmarks,10,250,0.923004081632653,0.9192326530612245
30,Random (uniform),10,500,0.9458775510204082,0.9409795918367347
31,"Random (subtask stratified, equal)",10,500,0.9402122448979592,0.9344653061224489
32,Diversity,10,500,0.9393469387755102,0.936
33,Stratified sampling (confidence),10,500,0.9463673469387756,0.9415102040816327
34,Anchor Points,10,500,0.9279673469387755,0.9254530612244898
35,tinyBenchmarks,10,500,0.9459428571428572,0.940065306122449
36,Random (uniform),10,1000,0.9634938775510205,0.9563102040816327
37,"Random (subtask stratified, equal)",10,1000,0.956195918367347,0.9508081632653061
38,Diversity,10,1000,0.9569387755102041,0.9494285714285714
39,Stratified sampling (confidence),10,1000,0.9643061224489796,0.9559591836734694
40,Anchor Points,10,1000,0.9290775510204081,0.9258122448979592
41,tinyBenchmarks,10,1000,0.9609142857142857,0.9548081632653062
42,Random (uniform),50,10,0.6241469387755102,0.6232816326530612
43,"Random (subtask stratified, equal)",50,10,0.6222857142857143,0.6221061224489796
44,Diversity,50,10,0.6505510204081633,0.6493469387755102
45,Stratified sampling (confidence),50,10,0.6816122448979591,0.6818163265306122
46,Anchor Points,50,10,0.8801632653061224,0.8797551020408163
47,tinyBenchmarks,50,10,0.6586285714285715,0.6589714285714285
